"DistTypeID","DistTypeName","OnOffSwitch","Description","IsStandReplacing","IsMultiYear","MultiYearCount"
44,"SBW for young spruce stands  - Impact Type 23",0,"Non-stand replacing Spruce Bud Worm Impact Type 23 for young spruce stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
45,"SBW for young spruce stands  - Impact Type 24",0,"Non-stand replacing Spruce Bud Worm Impact Type 24 for young spruce stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
46,"SBW for young spruce stands  - Impact Type 25",0,"Non-stand replacing Spruce Bud Worm Impact Type 25 for young spruce stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
47,"SBW for young spruce stands  - Impact Type 26",0,"Non-stand replacing Spruce Bud Worm Impact Type 26 for young spruce stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
48,"SBW for young spruce stands  - Impact Type 27",0,"Non-stand replacing Spruce Bud Worm Impact Type 27 for young spruce stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
49,"SBW for old spruce stands  - Impact Type 1",0,"Non-stand replacing Spruce Bud Worm Impact Type 1 for old spruce stands  (>60 years old). Effects of impact type vary by region.",0,1,28
50,"SBW for old spruce stands  - Impact Type 2",0,"Non-stand replacing Spruce Bud Worm Impact Type 2 for old spruce stands  (>60 years old). Effects of impact type vary by region.",0,1,28
51,"SBW for old spruce stands  - Impact Type 3",0,"Non-stand replacing Spruce Bud Worm Impact Type 3 for old spruce stands  (>60 years old). Effects of impact type vary by region.",0,1,28
52,"SBW for old spruce stands  - Impact Type 4",0,"Non-stand replacing Spruce Bud Worm Impact Type 4 for old spruce stands  (>60 years old). Effects of impact type vary by region.",0,1,28
53,"SBW for old spruce stands  - Impact Type 5",0,"Non-stand replacing Spruce Bud Worm Impact Type 5 for old spruce stands  (>60 years old). Effects of impact type vary by region.",0,1,28
54,"SBW for old spruce stands  - Impact Type 6",0,"Non-stand replacing Spruce Bud Worm Impact Type 6 for old spruce stands  (>60 years old). Effects of impact type vary by region.",0,1,28
55,"SBW for old spruce stands  - Impact Type 7",0,"Non-stand replacing Spruce Bud Worm Impact Type 7 for old spruce stands  (>60 years old). Effects of impact type vary by region.",0,1,28
56,"SBW for old spruce stands  - Impact Type 8",0,"Non-stand replacing Spruce Bud Worm Impact Type 8 for old spruce stands  (>60 years old). Effects of impact type vary by region.",0,1,28
57,"SBW for old spruce stands  - Impact Type 9",0,"Non-stand replacing Spruce Bud Worm Impact Type 9 for old spruce stands  (>60 years old). Effects of impact type vary by region.",0,1,28
58,"SBW for old spruce stands  - Impact Type 10",0,"Non-stand replacing Spruce Bud Worm Impact Type 10 for old spruce stands  (>60 years old). Effects of impact type vary by region.",0,1,28
59,"SBW for old spruce stands  - Impact Type 11",0,"Non-stand replacing Spruce Bud Worm Impact Type 11 for old spruce stands  (>60 years old). Effects of impact type vary by region.",0,1,28
60,"SBW for old spruce stands  - Impact Type 12",0,"Non-stand replacing Spruce Bud Worm Impact Type 12 for old spruce stands  (>60 years old). Effects of impact type vary by region.",0,1,28
61,"SBW for old spruce stands  - Impact Type 13",0,"Non-stand replacing Spruce Bud Worm Impact Type 13 for old spruce stands  (>60 years old). Effects of impact type vary by region.",0,1,28
62,"SBW for old spruce stands  - Impact Type 14",0,"Non-stand replacing Spruce Bud Worm Impact Type 14 for old spruce stands  (>60 years old). Effects of impact type vary by region.",0,1,28
63,"SBW for old spruce stands  - Impact Type 15",0,"Non-stand replacing Spruce Bud Worm Impact Type 15 for old spruce stands  (>60 years old). Effects of impact type vary by region.",0,1,28
64,"SBW for old spruce stands  - Impact Type 16",0,"Non-stand replacing Spruce Bud Worm Impact Type 16 for old spruce stands  (>60 years old). Effects of impact type vary by region.",0,1,28
65,"SBW for old spruce stands  - Impact Type 17",0,"Non-stand replacing Spruce Bud Worm Impact Type 17 for old spruce stands  (>60 years old). Effects of impact type vary by region.",0,1,28
66,"SBW for old spruce stands  - Impact Type 18",0,"Non-stand replacing Spruce Bud Worm Impact Type 18 for old spruce stands  (>60 years old). Effects of impact type vary by region.",0,1,28
67,"SBW for old spruce stands  - Impact Type 19",0,"Non-stand replacing Spruce Bud Worm Impact Type 19 for old spruce stands  (>60 years old). Effects of impact type vary by region.",0,1,28
68,"SBW for old spruce stands  - Impact Type 20",0,"Non-stand replacing Spruce Bud Worm Impact Type 20 for old spruce stands  (>60 years old). Effects of impact type vary by region.",0,1,28
69,"SBW for old spruce stands  - Impact Type 21",0,"Non-stand replacing Spruce Bud Worm Impact Type 21 for old spruce stands  (>60 years old). Effects of impact type vary by region.",0,1,28
70,"SBW for old spruce stands  - Impact Type 22",0,"Non-stand replacing Spruce Bud Worm Impact Type 22 for old spruce stands  (>60 years old). Effects of impact type vary by region.",0,1,28
71,"SBW for old spruce stands  - Impact Type 23",0,"Non-stand replacing Spruce Bud Worm Impact Type 23 for old spruce stands  (>60 years old). Effects of impact type vary by region.",0,1,28
72,"SBW for old spruce stands  - Impact Type 24",0,"Non-stand replacing Spruce Bud Worm Impact Type 24 for old spruce stands  (>60 years old). Effects of impact type vary by region.",0,1,28
73,"SBW for old spruce stands  - Impact Type 25",0,"Non-stand replacing Spruce Bud Worm Impact Type 25 for old spruce stands  (>60 years old). Effects of impact type vary by region.",0,1,28
74,"SBW for old spruce stands  - Impact Type 26",0,"Non-stand replacing Spruce Bud Worm Impact Type 26 for old spruce stands  (>60 years old). Effects of impact type vary by region.",0,1,28
75,"SBW for old spruce stands  - Impact Type 27",0,"Non-stand replacing Spruce Bud Worm Impact Type 27 for old spruce stands  (>60 years old). Effects of impact type vary by region.",0,1,28
76,"SBW for young fir stands  - Impact Type 1",0,"Non-stand replacing Spruce Bud Worm Impact Type 1 for young fir stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
77,"SBW for young fir stands  - Impact Type 2",0,"Non-stand replacing Spruce Bud Worm Impact Type 2 for young fir stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
78,"SBW for young fir stands  - Impact Type 3",0,"Non-stand replacing Spruce Bud Worm Impact Type 3 for young fir stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
79,"SBW for young fir stands  - Impact Type 4",0,"Non-stand replacing Spruce Bud Worm Impact Type 4 for young fir stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
