"MappingID","RulesVersionID","TableNameInPreDB","TableNameInPostDB"
11,3,"tblClassifiers","tblUserDefdClasses"
12,3,"tblClassifierSets","tblUserDefdClassSets"
13,3,"tblClassifierSetValues","tblUserDefdClassSetValues"
14,3,"tblClassifierValues","tblUserDefdSubclasses"
15,3,"tblEcoBoundary","tblEcoBoundary"
16,3,"tblSpeciesType","tblSpeciesType"
17,3,"tblAdminBoundary","tblAdminBoundary"
18,3,"tblDisturbanceType","tblDisturbanceType"
19,3,"tblSPU","tblSPU"
