"DefaultSPUID","DefaultSpeciesTypeID","A","B","a_nonmerch","b_nonmerch","k_nonmerch","cap_nonmerch","a_sap","b_sap","k_sap","cap_sap","a1","a2","a3","b1","b2","b3","c1","c2","c3","min_volume","max_volume","low_stemwood_prop","high_stemwood_prop","low_stembark_prop","high_stembark_prop","low_branches_prop","high_branches_prop","low_foliage_prop","high_foliage_prop"
3,29,0.81,0.87,7.89,-0.48,0.00,6.39,1.67,-1.44,0.99,1.02,-1.48,2.36e-04,-0.05,-0.73,1.15e-03,-0.12,0.68,-1.58e-03,-0.36,0.64,268.06,0.37,0.59,0.07,0.10,0.14,0.19,0.39,0.09
3,44,1.10,0.83,11.41,-1.08,0.99,2.32,0.00,0.00,1.00,1.00,-1.86,1.96e-04,-0.06,-1.38,7.4e-04,-0.10,-1.60,-9.9e-04,-0.11,0.32,263.16,0.66,0.73,0.09,0.08,0.13,0.12,0.10,0.05
3,63,1.11,0.82,13.03,-1.07,0.95,2.52,0.00,0.00,1.00,1.00,-1.40,2.45e-04,-0.05,-1.59,-1.9e-04,-0.01,-1.90,-1.34e-03,-0.12,0.32,576.63,0.64,0.71,0.14,0.14,0.12,0.11,0.07,0.02
3,65,0.96,0.86,6.28,-0.82,0.90,2.58,0.00,0.00,1.00,1.00,-1.23,-1.1e-05,-0.09,-1.36,2.0e-04,-0.05,-2.58,-1.52e-03,-0.01,1.11,620.18,0.64,0.72,0.15,0.11,0.14,0.14,0.04,0.01
3,74,1.06,0.85,12.64,-1.19,0.97,1.87,0.28,-0.97,0.99,1.02,-1.89,-1.7e-04,7.2e-04,-0.96,7.0e-04,-0.03,-1.97,-4.8e-04,-0.14,0.53,425.88,0.61,0.62,0.09,0.08,0.22,0.25,0.06,0.03
3,76,1.06,0.87,5.85,-0.35,0.00,4.15,0.28,-0.97,0.99,1.02,-1.64,7.0e-05,-0.01,-0.74,3.19e-03,-0.16,-0.87,6.2e-04,-0.19,0.74,123.13,0.54,0.59,0.10,0.10,0.19,0.18,0.16,0.10
3,86,1.20,0.83,5.64,-0.85,0.93,1.87,0.00,0.00,1.00,1.00,-1.85,-3.37e-04,-6.49e-03,-1.50,2.0e-05,0.03,-2.14,-1.2e-03,-0.07,0.48,362.28,0.66,0.68,0.10,0.09,0.15,0.18,0.06,0.03
3,93,1.51,0.80,22.61,-1.27,0.98,1.99,0.00,0.00,1.00,1.00,-1.90,-6.83e-04,-0.01,-2.55,-1.05e-03,0.29,-1.46,-5.9e-04,-0.30,0.28,496.33,0.70,0.70,0.10,0.06,0.08,0.20,0.09,0.01
3,171,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,2,0.80,0.89,10.63,-0.83,0.87,5.25,0.35,-1.21,0.99,1.01,-1.51,-1.8e-04,-0.06,-0.50,-2.8e-04,-0.15,0.70,-7.5e-04,-0.36,0.17,323.76,0.35,0.63,0.07,0.09,0.16,0.14,0.40,0.12
4,6,1.21,0.80,5.84,-0.39,0.00,4.62,0.35,-1.21,0.99,1.01,-1.51,1.02e-04,-0.07,0.29,9.9e-04,-0.34,1.22,-2.27e-03,-0.39,0.80,347.42,0.27,0.64,0.05,0.09,0.20,0.16,0.46,0.09
4,13,1.01,0.82,6.19,-0.88,0.94,2.11,0.00,0.00,1.00,1.00,-1.73,-6.4e-05,-0.02,-1.66,-2.3e-04,0.03,-0.70,5.6e-04,-0.34,1.23,835.86,0.61,0.70,0.10,0.09,0.12,0.13,0.16,0.05
4,20,0.97,0.85,2.37,-0.58,0.89,1.57,0.00,0.00,1.00,1.00,-2.13,-4.59e-04,0.01,-1.20,-7.0e-05,-0.09,-0.55,9.3e-04,-0.34,8.59,506.80,0.62,0.72,0.07,0.07,0.14,0.11,0.14,0.07
4,29,0.76,0.88,10.52,-0.73,0.74,5.35,1.67,-1.44,0.99,1.02,-1.76,1.92e-04,8.3e-03,-0.75,1.9e-04,-0.11,0.91,-2.3e-04,-0.41,0.31,332.58,0.35,0.60,0.06,0.11,0.13,0.15,0.44,0.12
4,44,1.10,0.83,11.41,-1.08,0.99,2.32,0.00,0.00,1.00,1.00,-1.86,1.96e-04,-0.06,-1.38,7.4e-04,-0.10,-1.60,-9.9e-04,-0.11,0.32,263.16,0.66,0.73,0.09,0.08,0.13,0.12,0.10,0.05
4,63,1.11,0.82,13.03,-1.07,0.95,2.52,0.00,0.00,1.00,1.00,-1.40,2.45e-04,-0.05,-1.59,-1.9e-04,-0.01,-1.90,-1.34e-03,-0.12,0.32,576.63,0.64,0.71,0.14,0.14,0.12,0.11,0.07,0.02
4,65,0.96,0.86,6.28,-0.82,0.90,2.58,0.00,0.00,1.00,1.00,-1.23,-1.1e-05,-0.09,-1.36,2.0e-04,-0.05,-2.58,-1.52e-03,-0.01,1.11,620.18,0.64,0.72,0.15,0.11,0.14,0.14,0.04,0.01
4,74,1.06,0.85,12.64,-1.19,0.97,1.87,0.28,-0.97,0.99,1.02,-1.89,-1.7e-04,7.2e-04,-0.96,7.0e-04,-0.03,-1.97,-4.8e-04,-0.14,0.53,425.88,0.61,0.62,0.09,0.08,0.22,0.25,0.06,0.03
4,76,1.06,0.87,5.85,-0.35,0.00,4.15,0.28,-0.97,0.99,1.02,-1.64,7.0e-05,-0.01,-0.74,3.19e-03,-0.16,-0.87,6.2e-04,-0.19,0.74,123.13,0.54,0.59,0.10,0.10,0.19,0.18,0.16,0.10
4,86,1.20,0.83,5.64,-0.85,0.93,1.87,0.00,0.00,1.00,1.00,-1.85,-3.37e-04,-6.49e-03,-1.50,2.0e-05,0.03,-2.14,-1.2e-03,-0.07,0.48,362.28,0.66,0.68,0.10,0.09,0.15,0.18,0.06,0.03
4,93,1.51,0.80,22.61,-1.27,0.98,1.99,0.00,0.00,1.00,1.00,-1.90,-6.83e-04,-0.01,-2.55,-1.05e-03,0.29,-1.46,-5.9e-04,-0.30,0.28,496.33,0.70,0.70,0.10,0.06,0.08,0.20,0.09,0.01
4,153,2.91,0.64,33.32,-1.52,1.05,1.91,0.00,0.00,1.00,1.00,-1.29,4.17e-04,-0.06,-1.62,-1.0e-03,4.88e-03,-2.40,-3.53e-03,-0.01,0.35,121.39,0.65,0.69,0.16,0.14,0.12,0.12,0.05,0.03
4,171,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,2,0.47,0.98,6.34,-0.96,0.94,2.58,0.00,0.00,1.00,1.00,-1.83,-9.27e-04,5.59e-03,0.25,-2.0e-04,-0.27,-0.32,-1.11e-03,-0.25,0.28,278.47,0.40,0.66,0.06,0.08,0.33,0.17,0.19,0.08
5,3,0.42,1.00,8.78,-1.08,0.97,3.16,0.00,0.00,1.00,1.00,-0.73,-3.2e-05,-0.20,-0.72,8.8e-04,-0.16,-0.62,3.4e-04,-0.30,0.24,694.41,0.49,0.66,0.16,0.07,0.18,0.19,0.15,0.06
5,4,3.07,0.71,8.78,-1.08,0.97,3.16,0.00,0.00,1.00,1.00,-1.60,3.891e-03,-0.21,-1.22,5.74e-03,-0.27,-2.12,4.38e-03,-0.10,1.46,125.34,0.70,0.71,0.09,0.08,0.12,0.11,0.07,0.09
5,6,0.49,0.97,4.80,-0.61,0.71,3.71,0.00,0.00,1.00,1.00,-1.91,-1.39e-04,-9.38e-03,0.76,5.5e-04,-0.40,-0.05,1.1e-04,-0.36,0.21,517.65,0.36,0.68,0.05,0.08,0.39,0.15,0.18,0.06
5,7,0.49,0.97,4.80,-0.61,0.71,3.71,0.00,0.00,1.00,1.00,-1.91,-1.39e-04,-9.38e-03,0.76,5.5e-04,-0.40,-0.05,1.1e-04,-0.36,0.21,517.65,0.36,0.68,0.05,0.08,0.39,0.15,0.18,0.06
5,8,0.42,1.00,8.78,-1.08,0.97,3.16,0.00,0.00,1.00,1.00,-0.73,-3.2e-05,-0.20,-0.72,8.8e-04,-0.16,-0.62,3.4e-04,-0.30,0.24,694.41,0.49,0.66,0.16,0.07,0.18,0.19,0.15,0.06
5,13,0.58,0.92,7.75,-1.23,0.98,4.51,0.00,0.00,1.00,1.00,-1.34,-1.59e-04,-0.07,0.44,8.4e-04,-0.31,-0.04,6.8e-04,-0.40,0.31,827.38,0.38,0.61,0.08,0.08,0.34,0.22,0.18,0.06
5,14,1.50,0.75,17.26,-1.24,0.96,2.71,0.00,0.00,1.00,1.00,-1.69,1.102e-03,-0.16,-0.18,5.2e-04,-0.24,-1.38,-7.1e-04,-0.16,0.41,298.80,0.53,0.70,0.07,0.07,0.29,0.16,0.10,0.05
5,20,0.81,0.85,3.26,-0.83,0.94,2.12,0.00,0.00,1.00,1.00,-1.43,4.0e-06,-0.12,1.58,2.11e-03,-0.59,0.57,1.37e-03,-0.53,0.20,580.26,0.26,0.62,0.05,0.06,0.48,0.23,0.19,0.07
5,22,0.81,0.85,100.00,-2.02,0.99,1.01,0.00,0.00,1.00,1.00,-1.43,4.0e-06,-0.12,1.58,2.11e-03,-0.59,0.57,1.37e-03,-0.53,0.20,580.26,0.26,0.62,0.05,0.06,0.48,0.23,0.19,0.07
5,29,0.39,1.02,18.87,-0.99,0.87,5.15,0.00,0.00,1.00,1.00,-1.02,1.08e-04,-0.13,0.69,1.35e-03,-0.39,0.04,-1.2e-04,-0.38,0.13,508.22,0.34,0.62,0.10,0.10,0.36,0.21,0.19,0.05
5,37,0.62,0.94,100.00,-2.23,1.00,1.01,0.00,0.00,1.00,1.00,-1.03,1.83e-04,-0.15,-0.52,2.5e-04,-0.14,-0.97,2.3e-04,-0.22,2.63,1061.85,0.51,0.65,0.13,0.09,0.22,0.18,0.12,0.06
5,43,0.45,0.99,13.83,-1.03,0.89,3.80,0.00,0.00,1.00,1.00,-2.03,-1.144e-03,0.03,-0.68,-3.27e-03,-6.49e-03,-1.24,-1.39e-03,-0.18,0.67,350.27,0.54,0.75,0.07,0.08,0.27,0.11,0.11,0.04
5,44,0.45,0.99,13.83,-1.03,0.89,3.80,0.00,0.00,1.00,1.00,-2.03,-1.144e-03,0.03,-0.68,-3.27e-03,-6.49e-03,-1.24,-1.39e-03,-0.18,0.67,350.27,0.54,0.75,0.07,0.08,0.27,0.11,0.11,0.04
5,49,0.48,0.94,4.69,-0.35,0.00,1.90,0.00,0.00,1.00,1.00,0.03,1.983e-03,-0.40,2.62,3.54e-03,-0.86,2.02,-1.37e-03,-0.64,37.44,263.22,0.40,0.62,0.09,0.11,0.24,0.16,0.25,0.09
5,59,0.51,0.95,5.43,-0.87,0.93,2.75,0.00,0.00,1.00,1.00,-1.37,-2.83e-04,-0.07,0.66,1.16e-03,-0.41,0.02,1.8e-04,-0.38,0.13,1061.85,0.36,0.63,0.08,0.07,0.35,0.23,0.19,0.05
