"DefaultSPUID","DefaultForestTypeID","A","B","a_nonmerch","b_nonmerch","k_nonmerch","cap_nonmerch","a_sap","b_sap","k_sap","cap_sap","a1","a2","a3","b1","b2","b3","c1","c2","c3","min_volume","max_volume","low_stemwood_prop","high_stemwood_prop","low_stembark_prop","high_stembark_prop","low_branches_prop","high_branches_prop","low_foliage_prop","high_foliage_prop"
34,1,0.61,0.94,15.28,-0.72,0.65,5.67,0.00,0.00,1.00,1.00,-1.53,3.56e-05,-0.12,-1.56,-5.977e-04,-0.06,-1.32,-1.265e-03,-0.15,0.52,658.35,0.63,0.80,0.11,0.08,0.12,0.07,0.13,0.03
34,2,0.50,0.96,5.83,-0.61,0.75,3.28,0.00,0.00,1.00,1.00,-1.30,2.92e-05,-0.08,-1.52,-8.701e-04,-0.01,-1.16,-3.06e-04,-0.27,0.91,802.90,0.61,0.77,0.14,0.12,0.12,0.07,0.11,0.02
34,3,0.45,0.99,9.16,-0.66,0.67,4.47,0.00,0.00,1.00,1.00,-1.15,-2.116e-04,-0.03,-2.89,-8.582e-04,0.20,-2.47,-1.22e-04,-0.22,0.66,625.99,0.69,0.73,0.20,0.15,0.05,0.09,0.04,0.01
35,1,0.61,0.94,15.28,-0.72,0.65,5.67,0.00,0.00,1.00,1.00,-1.53,3.56e-05,-0.12,-1.56,-5.977e-04,-0.06,-1.32,-1.265e-03,-0.15,0.52,658.35,0.63,0.80,0.11,0.08,0.12,0.07,0.13,0.03
35,2,0.50,0.96,5.83,-0.61,0.75,3.28,0.00,0.00,1.00,1.00,-1.30,2.92e-05,-0.08,-1.52,-8.701e-04,-0.01,-1.16,-3.06e-04,-0.27,0.91,802.90,0.61,0.77,0.14,0.12,0.12,0.07,0.11,0.02
35,3,0.45,0.99,9.16,-0.66,0.67,4.47,0.00,0.00,1.00,1.00,-1.15,-2.116e-04,-0.03,-2.89,-8.582e-04,0.20,-2.47,-1.22e-04,-0.22,0.66,625.99,0.69,0.73,0.20,0.15,0.05,0.09,0.04,0.01
36,1,0.77,0.89,14.86,-0.65,0.46,5.42,0.00,0.00,1.00,1.00,-1.72,7.567e-04,-0.09,-3.39,2.3399e-03,0.16,-2.33,1.778e-03,-0.05,4.31,589.00,0.78,0.58,0.11,0.08,0.03,0.21,0.06,0.11
36,2,0.50,0.96,5.83,-0.61,0.75,3.28,0.00,0.00,1.00,1.00,-1.30,2.92e-05,-0.08,-1.52,-8.701e-04,-0.01,-1.16,-3.06e-04,-0.27,0.91,802.90,0.61,0.77,0.14,0.12,0.12,0.07,0.11,0.02
36,3,0.22,1.10,31.61,-0.92,0.50,4.86,0.00,0.00,1.00,1.00,-1.83,-7.772e-04,0.09,-3.67,-3.197e-03,0.52,-3.34,-3.426e-03,0.18,20.35,362.80,0.71,0.70,0.15,0.14,0.09,0.12,0.04,0.02
37,1,0.61,0.94,15.28,-0.72,0.65,5.67,0.00,0.00,1.00,1.00,-1.53,3.56e-05,-0.12,-1.56,-5.977e-04,-0.06,-1.32,-1.265e-03,-0.15,0.52,658.35,0.63,0.80,0.11,0.08,0.12,0.07,0.13,0.03
