"DefaultSPUID","DefaultGenusID","A","B","a_nonmerch","b_nonmerch","k_nonmerch","cap_nonmerch","a_sap","b_sap","k_sap","cap_sap","a1","a2","a3","b1","b2","b3","c1","c2","c3","min_volume","max_volume","low_stemwood_prop","high_stemwood_prop","low_stembark_prop","high_stembark_prop","low_branches_prop","high_branches_prop","low_foliage_prop","high_foliage_prop"
5,8,0.51,0.95,5.43,-0.87,0.93,2.75,0.00,0.00,1.00,1.00,-1.37,-2.833e-04,-0.07,0.66,1.1636e-03,-0.41,0.02,1.77e-04,-0.38,0.13,1061.85,0.36,0.63,0.08,0.07,0.35,0.23,0.19,0.05
5,9,0.46,1.00,10.55,-0.68,0.64,4.54,0.00,0.00,1.00,1.00,-1.10,-3.36e-04,-0.07,-1.24,-3.8e-05,-0.01,-2.11,-3.33e-04,-0.12,0.32,532.21,0.59,0.68,0.17,0.11,0.16,0.17,0.05,0.03
5,10,0.47,1.04,28.07,-1.08,0.87,3.66,0.00,0.00,1.00,1.00,-1.33,4.005e-04,-0.10,0.24,1.2314e-03,-0.23,-1.68,-6.06e-04,-0.17,0.13,574.22,0.44,0.55,0.10,0.09,0.38,0.32,0.06,0.02
5,11,0.57,1.00,62.78,-1.53,0.98,3.82,0.00,0.00,1.00,1.00,-0.90,5.002e-04,-0.20,-0.44,2.716e-04,-0.13,-1.74,-3.39e-04,-0.18,0.18,566.04,0.51,0.66,0.14,0.09,0.26,0.20,0.06,0.02
5,12,0.45,1.06,20.51,-0.94,0.79,5.71,0.00,0.00,1.00,1.00,-1.07,-4.306e-04,-0.17,-1.02,-7.47e-05,0.01,-1.98,-1.335e-03,-0.10,0.29,652.11,0.57,0.67,0.14,0.05,0.21,0.25,0.06,0.01
5,13,0.62,1.00,34.99,-1.26,0.95,4.60,0.00,0.00,1.00,1.00,-1.06,3.532e-04,-0.17,-0.27,5.985e-04,-0.16,-2.00,-1.88e-04,-0.18,0.13,652.11,0.51,0.63,0.13,0.09,0.30,0.24,0.05,0.02
6,1,0.54,0.95,6.33,-0.96,0.94,2.68,0.00,0.00,1.00,1.00,-1.25,-7.37e-05,-0.12,0.63,1.9226e-03,-0.44,1.78,1.799e-03,-0.75,0.35,353.65,0.26,0.64,0.05,0.08,0.23,0.18,0.44,0.08
6,2,0.68,0.90,6.87,-1.14,0.98,3.76,0.00,0.00,1.00,1.00,-1.39,-1.1456e-03,-0.05,-1.81,-2.32e-03,0.13,-0.92,-2.357e-03,-0.14,0.33,643.48,0.57,0.82,0.12,0.06,0.11,0.07,0.17,0.02
6,3,0.49,0.99,18.87,-0.99,0.87,5.15,0.00,0.00,1.00,1.00,-0.08,7.479e-04,-0.32,-0.95,1.6e-06,-0.06,0.78,-1.257e-03,-0.49,4.50,324.12,0.40,0.65,0.17,0.11,0.13,0.17,0.28,0.05
6,4,0.42,1.01,100.00,-2.23,1.00,1.01,0.00,0.00,1.00,1.00,-1.03,1.827e-04,-0.15,-0.52,2.52e-04,-0.14,-0.97,2.31e-04,-0.22,2.63,1061.85,0.51,0.65,0.13,0.09,0.22,0.18,0.12,0.06
6,6,0.99,0.85,14.74,-1.07,0.91,3.80,0.00,0.00,1.00,1.00,-0.84,9.756e-04,-0.27,-0.03,2.1202e-03,-0.36,0.89,4.079e-03,-0.80,1.95,315.35,0.44,0.69,0.11,0.08,0.21,0.16,0.23,0.06
6,7,0.48,0.94,4.69,-0.35,0.00,1.90,0.00,0.00,1.00,1.00,0.03,1.9831e-03,-0.40,2.62,3.5381e-03,-0.86,2.02,-1.372e-03,-0.64,37.44,263.22,0.40,0.62,0.09,0.11,0.24,0.16,0.25,0.09
6,8,0.69,0.90,5.43,-0.87,0.93,2.75,0.00,0.00,1.00,1.00,-1.57,-1.7031e-03,-2.79e-03,-0.28,-2.893e-04,-0.19,0.75,-6.81e-04,-0.46,0.33,643.48,0.36,0.76,0.07,0.05,0.19,0.13,0.35,0.05
6,9,0.65,0.93,10.55,-0.68,0.64,4.54,0.00,0.00,1.00,1.00,-0.24,1.6588e-03,-0.31,-2.51,-8.075e-04,0.25,-1.21,5.09e-04,-0.26,6.80,472.97,0.59,0.62,0.21,0.15,0.09,0.17,0.09,0.04
6,10,0.68,0.96,28.07,-1.08,0.87,3.66,0.00,0.00,1.00,1.00,-0.43,1.4028e-03,-0.31,1.00,2.3417e-03,-0.48,2.29,5.182e-03,-1.09,4.23,294.65,0.31,0.62,0.10,0.10,0.29,0.21,0.28,0.05
6,11,0.40,1.07,62.78,-1.53,0.98,3.82,0.00,0.00,1.00,1.00,0.24,1.753e-03,-0.46,-0.72,-1.529e-04,-0.06,-0.61,-2.352e-03,-0.30,3.61,279.05,0.46,0.65,0.21,0.10,0.19,0.20,0.12,0.03
6,12,0.50,1.03,20.51,-0.94,0.79,5.71,0.00,0.00,1.00,1.00,-0.79,2.472e-04,-0.24,0.63,-4.61e-06,-0.31,-0.44,-0.01,-0.01,0.87,310.62,0.33,0.68,0.09,0.08,0.36,0.21,0.20,0.01
