"DefaultSPUID","DefaultGenusID","A","B","a_nonmerch","b_nonmerch","k_nonmerch","cap_nonmerch","a_sap","b_sap","k_sap","cap_sap","a1","a2","a3","b1","b2","b3","c1","c2","c3","min_volume","max_volume","low_stemwood_prop","high_stemwood_prop","low_stembark_prop","high_stembark_prop","low_branches_prop","high_branches_prop","low_foliage_prop","high_foliage_prop"
15,13,1.27,0.82,13.13,-1.12,0.97,2.19,0.00,0.00,1.00,1.00,-1.45,3.892e-04,-0.09,-2.25,-1.1334e-03,0.22,-1.90,-1.735e-03,-0.15,0.28,620.18,0.68,0.71,0.13,0.11,0.10,0.15,0.07,0.01
16,1,0.75,0.91,7.21,-0.92,0.93,2.53,0.00,0.00,1.00,1.00,-1.49,2.543e-04,-0.10,-1.05,-3.263e-04,-0.16,-0.02,-1.261e-03,-0.35,0.18,375.34,0.50,0.75,0.09,0.10,0.13,0.08,0.27,0.05
16,2,1.25,0.81,14.51,-1.14,0.96,3.12,0.00,0.00,1.00,1.00,-1.49,8.04e-04,-0.18,-1.00,1.3393e-03,-0.26,-0.46,6.89e-04,-0.41,0.22,789.03,0.58,0.72,0.09,0.09,0.13,0.13,0.18,0.05
16,3,0.56,0.95,3.51,-0.58,0.76,3.26,0.00,0.00,1.00,1.00,-1.56,7.084e-04,-0.06,-0.84,-1.811e-04,-0.18,0.52,-5.56e-04,-0.49,0.32,235.17,0.44,0.70,0.08,0.12,0.14,0.10,0.32,0.06
16,4,1.04,0.86,0.00,-0.50,1.00,1.00,0.00,0.00,1.00,1.00,-1.38,4.551e-04,-0.10,-1.61,-3.346e-04,0.06,-1.20,3.66e-04,-0.25,2.43,577.77,0.62,0.66,0.12,0.11,0.14,0.16,0.11,0.04
16,6,1.10,0.83,11.41,-1.08,0.99,2.32,0.00,0.00,1.00,1.00,-1.86,1.958e-04,-0.06,-1.38,7.411e-04,-0.10,-1.60,-9.91e-04,-0.11,0.32,263.16,0.66,0.73,0.09,0.08,0.13,0.12,0.10,0.05
16,7,0.60,0.90,0.22,-3.23,1.02,2.17,0.00,0.00,1.00,1.00,-1.82,-2.542e-04,-0.01,-0.41,-1.62e-04,-0.18,-0.23,-2.24e-04,-0.30,1.81,552.36,0.48,0.70,0.07,0.09,0.22,0.13,0.21,0.07
16,8,1.16,0.82,10.28,-1.07,0.96,2.83,0.00,0.00,1.00,1.00,-1.35,3.799e-04,-0.17,-0.77,1.2207e-03,-0.28,0.01,1.03e-04,-0.44,0.18,789.03,0.50,0.74,0.09,0.08,0.14,0.13,0.24,0.04
16,9,0.63,0.93,16.21,-1.13,0.94,4.03,0.00,0.00,1.00,1.00,-1.38,1.328e-04,-0.05,-1.21,-5.21e-05,-0.11,-0.43,-1.629e-03,-0.39,0.30,571.15,0.55,0.74,0.12,0.14,0.13,0.10,0.18,0.01
16,10,0.89,0.90,3.40,-0.60,0.80,2.22,0.00,0.00,1.00,1.00,-1.71,-2.471e-04,-0.01,-1.55,-4.16e-04,5.94e-03,-0.44,4.96e-04,-0.43,0.29,299.60,0.58,0.70,0.10,0.11,0.12,0.13,0.18,0.04
16,11,1.09,0.88,1.05,-6.45e-03,0.00,1.03,0.00,0.00,1.00,1.00,-1.84,-5.793e-04,-0.01,-1.51,1.825e-04,0.05,-1.96,-2.027e-03,-0.14,0.44,509.09,0.66,0.67,0.10,0.07,0.16,0.23,0.07,0.01
16,12,1.51,0.80,22.61,-1.27,0.98,1.99,0.00,0.00,1.00,1.00,-1.90,-6.828e-04,-0.01,-2.55,-1.0482e-03,0.29,-1.46,-5.91e-04,-0.30,0.28,496.33,0.70,0.70,0.10,0.06,0.08,0.20,0.09,0.01
16,13,1.01,0.85,8.43,-0.93,0.91,3.81,0.00,0.00,1.00,1.00,-1.48,3.42e-04,-0.04,-1.23,-7.836e-04,-0.06,-0.45,-1.044e-03,-0.45,0.29,571.15,0.56,0.74,0.11,0.15,0.14,0.09,0.16,0.01
17,1,0.97,0.85,14.31,-1.10,0.94,3.07,0.00,0.00,1.00,1.00,-1.78,-1.784e-04,-0.02,-1.18,1.093e-03,-0.12,-0.45,7.17e-04,-0.35,0.35,342.15,0.56,0.68,0.09,0.09,0.14,0.14,0.19,0.07
17,2,1.00,0.84,13.90,-1.24,1.01,2.63,0.00,0.00,1.00,1.00,-1.70,7.47e-05,-0.03,-1.92,-2.898e-04,0.08,-1.21,3.91e-04,-0.23,2.66,544.47,0.65,0.69,0.11,0.10,0.11,0.14,0.12,0.05
17,3,0.90,0.86,6.44,-0.66,0.72,2.85,0.00,0.00,1.00,1.00,-1.63,-4.62e-05,-0.03,-1.47,6.221e-04,-0.03,-1.19,-2.77e-04,-0.17,0.42,301.24,0.61,0.67,0.11,0.10,0.13,0.15,0.13,0.06
17,4,1.07,0.84,5.17,-0.45,0.41,4.02,0.00,0.00,1.00,1.00,-1.45,4.431e-04,-0.09,-1.36,-2.32e-04,7.28e-03,-1.57,-5.6e-05,-0.14,1.76,460.50,0.62,0.67,0.12,0.11,0.16,0.16,0.09,0.05
17,6,0.99,0.87,9.69,-0.84,0.84,3.27,0.00,0.00,1.00,1.00,-2.04,-1.1173e-03,0.01,-2.53,-2.1682e-03,0.18,-1.83,4.27e-04,-0.12,2.17,263.76,0.72,0.75,0.09,0.07,0.08,0.09,0.09,0.06
17,7,1.07,0.81,6.28,-0.77,0.85,2.55,0.00,0.00,1.00,1.00,-1.75,1.138e-04,-0.04,-1.58,-6.475e-04,0.04,-1.20,9.4e-04,-0.21,0.43,376.37,0.62,0.68,0.10,0.09,0.13,0.14,0.13,0.08
17,8,0.96,0.84,8.42,-0.88,0.90,3.13,0.00,0.00,1.00,1.00,-1.59,3.825e-04,-0.07,-1.48,6.139e-04,-0.04,-1.08,-5.39e-04,-0.17,0.35,544.47,0.60,0.67,0.10,0.10,0.12,0.15,0.15,0.05
17,9,1.01,0.84,14.95,-1.05,0.95,3.00,0.00,0.00,1.00,1.00,-1.78,-5.828e-04,0.04,-1.73,1.132e-04,0.01,-2.76,-6.85e-04,-0.01,0.88,390.17,0.70,0.70,0.12,0.12,0.12,0.13,0.04,0.03
17,10,1.38,0.81,11.11,-0.92,0.88,2.49,0.00,0.00,1.00,1.00,-1.75,-3.26e-04,-0.01,-2.61,8.85e-05,0.25,-4.73,-3.946e-03,0.51,0.44,308.29,0.76,0.65,0.12,0.09,0.08,0.21,0.01,0.03
17,11,0.91,0.90,15.62,-1.11,0.96,2.55,0.00,0.00,1.00,1.00,-1.79,-8.069e-04,-0.01,-1.47,4.943e-04,0.02,-2.71,-2.878e-03,0.04,0.48,594.07,0.68,0.68,0.11,0.06,0.16,0.23,0.04,0.01
17,12,1.38,0.82,25.13,-1.39,1.00,2.13,0.00,0.00,1.00,1.00,-1.50,-4.696e-04,-0.08,-2.14,1.42e-05,0.17,-2.52,-1.78e-03,-0.05,1.87,425.24,0.70,0.67,0.13,0.07,0.11,0.23,0.05,0.01
17,13,0.95,0.89,14.92,-1.09,0.96,2.52,0.00,0.00,1.00,1.00,-1.66,-8.911e-04,-0.02,-2.00,1.276e-04,0.13,-2.73,-2.214e-03,-6.1e-03,0.44,594.07,0.70,0.68,0.12,0.06,0.11,0.23,0.04,0.01
18,1,0.75,0.91,7.21,-0.92,0.93,2.53,0.00,0.00,1.00,1.00,-1.49,2.543e-04,-0.10,-1.05,-3.263e-04,-0.16,-0.02,-1.261e-03,-0.35,0.18,375.34,0.50,0.75,0.09,0.10,0.13,0.08,0.27,0.05
18,2,1.25,0.81,14.51,-1.14,0.96,3.12,0.00,0.00,1.00,1.00,-1.49,8.04e-04,-0.18,-1.00,1.3393e-03,-0.26,-0.46,6.89e-04,-0.41,0.22,789.03,0.58,0.72,0.09,0.09,0.13,0.13,0.18,0.05
18,3,0.56,0.95,3.51,-0.58,0.76,3.26,0.00,0.00,1.00,1.00,-1.56,7.084e-04,-0.06,-0.84,-1.811e-04,-0.18,0.52,-5.56e-04,-0.49,0.32,235.17,0.44,0.70,0.08,0.12,0.14,0.10,0.32,0.06
18,4,1.04,0.86,0.00,-0.50,1.00,1.00,0.00,0.00,1.00,1.00,-1.38,4.551e-04,-0.10,-1.61,-3.346e-04,0.06,-1.20,3.66e-04,-0.25,2.43,577.77,0.62,0.66,0.12,0.11,0.14,0.16,0.11,0.04
18,6,1.10,0.83,11.41,-1.08,0.99,2.32,0.00,0.00,1.00,1.00,-1.86,1.958e-04,-0.06,-1.38,7.411e-04,-0.10,-1.60,-9.91e-04,-0.11,0.32,263.16,0.66,0.73,0.09,0.08,0.13,0.12,0.10,0.05
18,7,0.60,0.90,0.22,-3.23,1.02,2.17,0.00,0.00,1.00,1.00,-1.82,-2.542e-04,-0.01,-0.41,-1.62e-04,-0.18,-0.23,-2.24e-04,-0.30,1.81,552.36,0.48,0.70,0.07,0.09,0.22,0.13,0.21,0.07
18,8,1.16,0.82,10.28,-1.07,0.96,2.83,0.00,0.00,1.00,1.00,-1.35,3.799e-04,-0.17,-0.77,1.2207e-03,-0.28,0.01,1.03e-04,-0.44,0.18,789.03,0.50,0.74,0.09,0.08,0.14,0.13,0.24,0.04
18,9,0.63,0.93,16.21,-1.13,0.94,4.03,0.00,0.00,1.00,1.00,-1.38,1.328e-04,-0.05,-1.21,-5.21e-05,-0.11,-0.43,-1.629e-03,-0.39,0.30,571.15,0.55,0.74,0.12,0.14,0.13,0.10,0.18,0.01
18,10,0.89,0.90,3.40,-0.60,0.80,2.22,0.00,0.00,1.00,1.00,-1.71,-2.471e-04,-0.01,-1.55,-4.16e-04,5.94e-03,-0.44,4.96e-04,-0.43,0.29,299.60,0.58,0.70,0.10,0.11,0.12,0.13,0.18,0.04
18,11,1.09,0.88,1.05,-6.45e-03,0.00,1.03,0.00,0.00,1.00,1.00,-1.84,-5.793e-04,-0.01,-1.51,1.825e-04,0.05,-1.96,-2.027e-03,-0.14,0.44,509.09,0.66,0.67,0.10,0.07,0.16,0.23,0.07,0.01
18,12,1.51,0.80,22.61,-1.27,0.98,1.99,0.00,0.00,1.00,1.00,-1.90,-6.828e-04,-0.01,-2.55,-1.0482e-03,0.29,-1.46,-5.91e-04,-0.30,0.28,496.33,0.70,0.70,0.10,0.06,0.08,0.20,0.09,0.01
18,13,1.01,0.85,8.43,-0.93,0.91,3.81,0.00,0.00,1.00,1.00,-1.48,3.42e-04,-0.04,-1.23,-7.836e-04,-0.06,-0.45,-1.044e-03,-0.45,0.29,571.15,0.56,0.74,0.11,0.15,0.14,0.09,0.16,0.01
19,1,0.75,0.91,7.21,-0.92,0.93,2.53,0.00,0.00,1.00,1.00,-1.49,2.543e-04,-0.10,-1.05,-3.263e-04,-0.16,-0.02,-1.261e-03,-0.35,0.18,375.34,0.50,0.75,0.09,0.10,0.13,0.08,0.27,0.05
19,2,1.25,0.81,14.51,-1.14,0.96,3.12,0.00,0.00,1.00,1.00,-1.49,8.04e-04,-0.18,-1.00,1.3393e-03,-0.26,-0.46,6.89e-04,-0.41,0.22,789.03,0.58,0.72,0.09,0.09,0.13,0.13,0.18,0.05
19,3,0.56,0.95,3.51,-0.58,0.76,3.26,0.00,0.00,1.00,1.00,-1.56,7.084e-04,-0.06,-0.84,-1.811e-04,-0.18,0.52,-5.56e-04,-0.49,0.32,235.17,0.44,0.70,0.08,0.12,0.14,0.10,0.32,0.06
19,4,1.04,0.86,0.00,-0.50,1.00,1.00,0.00,0.00,1.00,1.00,-1.38,4.551e-04,-0.10,-1.61,-3.346e-04,0.06,-1.20,3.66e-04,-0.25,2.43,577.77,0.62,0.66,0.12,0.11,0.14,0.16,0.11,0.04
19,6,1.10,0.83,11.41,-1.08,0.99,2.32,0.00,0.00,1.00,1.00,-1.86,1.958e-04,-0.06,-1.38,7.411e-04,-0.10,-1.60,-9.91e-04,-0.11,0.32,263.16,0.66,0.73,0.09,0.08,0.13,0.12,0.10,0.05
19,7,0.60,0.90,0.22,-3.23,1.02,2.17,0.00,0.00,1.00,1.00,-1.82,-2.542e-04,-0.01,-0.41,-1.62e-04,-0.18,-0.23,-2.24e-04,-0.30,1.81,552.36,0.48,0.70,0.07,0.09,0.22,0.13,0.21,0.07
19,8,1.16,0.82,10.28,-1.07,0.96,2.83,0.00,0.00,1.00,1.00,-1.35,3.799e-04,-0.17,-0.77,1.2207e-03,-0.28,0.01,1.03e-04,-0.44,0.18,789.03,0.50,0.74,0.09,0.08,0.14,0.13,0.24,0.04
19,9,0.63,0.93,16.21,-1.13,0.94,4.03,0.00,0.00,1.00,1.00,-1.38,1.328e-04,-0.05,-1.21,-5.21e-05,-0.11,-0.43,-1.629e-03,-0.39,0.30,571.15,0.55,0.74,0.12,0.14,0.13,0.10,0.18,0.01
19,10,0.89,0.90,3.40,-0.60,0.80,2.22,0.00,0.00,1.00,1.00,-1.71,-2.471e-04,-0.01,-1.55,-4.16e-04,5.94e-03,-0.44,4.96e-04,-0.43,0.29,299.60,0.58,0.70,0.10,0.11,0.12,0.13,0.18,0.04
19,11,1.09,0.88,1.05,-6.45e-03,0.00,1.03,0.00,0.00,1.00,1.00,-1.84,-5.793e-04,-0.01,-1.51,1.825e-04,0.05,-1.96,-2.027e-03,-0.14,0.44,509.09,0.66,0.67,0.10,0.07,0.16,0.23,0.07,0.01
19,12,1.51,0.80,22.61,-1.27,0.98,1.99,0.00,0.00,1.00,1.00,-1.90,-6.828e-04,-0.01,-2.55,-1.0482e-03,0.29,-1.46,-5.91e-04,-0.30,0.28,496.33,0.70,0.70,0.10,0.06,0.08,0.20,0.09,0.01
19,13,1.01,0.85,8.43,-0.93,0.91,3.81,0.00,0.00,1.00,1.00,-1.48,3.42e-04,-0.04,-1.23,-7.836e-04,-0.06,-0.45,-1.044e-03,-0.45,0.29,571.15,0.56,0.74,0.11,0.15,0.14,0.09,0.16,0.01
21,1,0.70,0.90,4.61,-1.01,0.98,1.80,0.00,0.00,1.00,1.00,-1.57,2.621e-04,-0.08,-0.83,4.997e-04,-0.23,-0.16,3.3e-05,-0.38,0.31,529.19,0.52,0.74,0.09,0.10,0.15,0.09,0.23,0.05
21,2,0.66,0.93,20.26,-1.57,1.00,2.32,0.00,0.00,1.00,1.00,-1.79,2.85e-04,-0.11,-1.28,-1.3455e-03,-0.11,-0.70,8.22e-04,-0.38,0.16,386.36,0.61,0.80,0.08,0.07,0.14,0.06,0.16,0.05
21,3,0.49,0.95,2.97,-0.95,0.98,1.67,0.00,0.00,1.00,1.00,-1.68,-1.204e-04,-6.0e-03,-0.94,7.694e-04,-0.20,-0.36,-1.0e-03,-0.31,1.51,329.11,0.54,0.71,0.10,0.12,0.14,0.10,0.20,0.05
21,6,0.53,0.92,0.55,-0.27,0.87,1.25,0.00,0.00,1.00,1.00,-1.97,-6.047e-04,-0.02,-1.42,-1.8351e-03,-0.01,-1.04,-1.387e-03,-0.20,2.87,450.40,0.62,0.80,0.08,0.07,0.14,0.07,0.14,0.04
21,7,0.67,0.84,1.26,-0.04,0.00,1.17,0.00,0.00,1.00,1.00,-1.91,-3.23e-04,0.01,-0.40,6.499e-04,-0.23,0.36,1.588e-03,-0.46,16.21,499.74,0.54,0.65,0.08,0.08,0.18,0.14,0.19,0.11
21,8,0.84,0.86,9.28,-1.29,0.99,2.02,0.00,0.00,1.00,1.00,-1.85,-4.392e-04,-0.04,-1.06,-1.517e-04,-0.17,-0.55,-6.2e-05,-0.33,0.16,499.74,0.57,0.78,0.08,0.07,0.14,0.08,0.19,0.05
21,9,0.55,0.95,18.72,-1.61,1.00,2.47,0.00,0.00,1.00,1.00,-1.23,3.359e-04,-0.08,-1.13,-1.39e-05,-0.12,-0.31,8.77e-04,-0.52,0.58,703.92,0.55,0.72,0.13,0.14,0.14,0.10,0.16,0.03
21,10,0.71,0.92,1.66,-0.85,0.98,1.38,0.00,0.00,1.00,1.00,-1.66,-6.34e-05,-0.02,-0.61,2.2315e-03,-0.27,-0.82,1.295e-03,-0.40,0.36,289.67,0.57,0.69,0.10,0.11,0.19,0.14,0.12,0.04
21,12,0.61,0.96,1.07,-0.58,0.95,1.28,0.00,0.00,1.00,1.00,-1.05,-2.159e-04,-0.14,-1.24,-5.785e-04,-0.10,-2.45,-2.474e-03,-0.07,2.17,381.68,0.63,0.78,0.16,0.10,0.14,0.09,0.04,0.01
21,13,0.59,0.94,11.79,-1.40,0.99,2.10,0.00,0.00,1.00,1.00,-1.23,2.12e-04,-0.09,-1.15,-9.56e-05,-0.12,-0.29,9.57e-04,-0.59,0.36,703.92,0.56,0.74,0.14,0.13,0.14,0.09,0.15,0.02
22,1,0.70,0.90,4.61,-1.01,0.98,1.80,0.00,0.00,1.00,1.00,-1.57,2.621e-04,-0.08,-0.83,4.997e-04,-0.23,-0.16,3.3e-05,-0.38,0.31,529.19,0.52,0.74,0.09,0.10,0.15,0.09,0.23,0.05
22,2,0.66,0.93,20.26,-1.57,1.00,2.32,0.00,0.00,1.00,1.00,-1.79,2.85e-04,-0.11,-1.28,-1.3455e-03,-0.11,-0.70,8.22e-04,-0.38,0.16,386.36,0.61,0.80,0.08,0.07,0.14,0.06,0.16,0.05
22,3,0.49,0.95,2.97,-0.95,0.98,1.67,0.00,0.00,1.00,1.00,-1.68,-1.204e-04,-6.0e-03,-0.94,7.694e-04,-0.20,-0.36,-1.0e-03,-0.31,1.51,329.11,0.54,0.71,0.10,0.12,0.14,0.10,0.20,0.05
22,6,0.53,0.92,0.55,-0.27,0.87,1.25,0.00,0.00,1.00,1.00,-1.97,-6.047e-04,-0.02,-1.42,-1.8351e-03,-0.01,-1.04,-1.387e-03,-0.20,2.87,450.40,0.62,0.80,0.08,0.07,0.14,0.07,0.14,0.04
22,7,0.67,0.84,1.26,-0.04,0.00,1.17,0.00,0.00,1.00,1.00,-1.91,-3.23e-04,0.01,-0.40,6.499e-04,-0.23,0.36,1.588e-03,-0.46,16.21,499.74,0.54,0.65,0.08,0.08,0.18,0.14,0.19,0.11
22,8,0.84,0.86,9.28,-1.29,0.99,2.02,0.00,0.00,1.00,1.00,-1.85,-4.392e-04,-0.04,-1.06,-1.517e-04,-0.17,-0.55,-6.2e-05,-0.33,0.16,499.74,0.57,0.78,0.08,0.07,0.14,0.08,0.19,0.05
22,9,0.55,0.95,18.72,-1.61,1.00,2.47,0.00,0.00,1.00,1.00,-1.23,3.359e-04,-0.08,-1.13,-1.39e-05,-0.12,-0.31,8.77e-04,-0.52,0.58,703.92,0.55,0.72,0.13,0.14,0.14,0.10,0.16,0.03
22,10,0.71,0.92,1.66,-0.85,0.98,1.38,0.00,0.00,1.00,1.00,-1.66,-6.34e-05,-0.02,-0.61,2.2315e-03,-0.27,-0.82,1.295e-03,-0.40,0.36,289.67,0.57,0.69,0.10,0.11,0.19,0.14,0.12,0.04
22,12,0.61,0.96,1.07,-0.58,0.95,1.28,0.00,0.00,1.00,1.00,-1.05,-2.159e-04,-0.14,-1.24,-5.785e-04,-0.10,-2.45,-2.474e-03,-0.07,2.17,381.68,0.63,0.78,0.16,0.10,0.14,0.09,0.04,0.01
22,13,0.59,0.94,11.79,-1.40,0.99,2.10,0.00,0.00,1.00,1.00,-1.23,2.12e-04,-0.09,-1.15,-9.56e-05,-0.12,-0.29,9.57e-04,-0.59,0.36,703.92,0.56,0.74,0.14,0.13,0.14,0.09,0.15,0.02
23,1,0.51,0.95,4.09,-0.86,0.95,2.06,0.00,0.00,1.00,1.00,-1.10,2.005e-04,-0.15,-0.50,-4.368e-04,-0.22,0.26,-8.59e-04,-0.41,0.58,490.40,0.43,0.75,0.11,0.10,0.17,0.09,0.27,0.05
23,2,0.42,1.00,4.55,-0.99,0.95,2.03,0.00,0.00,1.00,1.00,-0.56,3.582e-04,-0.31,-0.70,-1.4025e-03,-0.22,-0.08,-2.438e-03,-0.39,0.15,331.66,0.46,0.81,0.15,0.08,0.15,0.06,0.22,0.03
23,3,0.58,0.91,22.94,-2.84,1.05,1.33,0.00,0.00,1.00,1.00,-1.93,-7.765e-04,0.05,0.69,1.9348e-03,-0.49,0.52,2.226e-03,-0.57,3.53,343.52,0.42,0.66,0.06,0.10,0.29,0.14,0.20,0.08
23,6,0.48,0.93,0.75,-0.24,0.78,1.35,0.00,0.00,1.00,1.00,-1.52,-4.04e-04,-0.07,-0.02,2.392e-04,-0.31,-0.80,-5.68e-04,-0.28,0.57,481.99,0.49,0.75,0.09,0.08,0.27,0.11,0.13,0.04
23,8,0.57,0.93,3.21,-0.82,0.95,1.94,0.00,0.00,1.00,1.00,-0.90,3.196e-04,-0.21,-0.31,9.67e-05,-0.30,0.13,-7.52e-04,-0.41,0.15,490.40,0.43,0.76,0.12,0.09,0.19,0.09,0.25,0.04
23,9,0.52,0.95,18.88,-1.63,1.00,2.29,0.00,0.00,1.00,1.00,-0.75,2.802e-04,-0.13,0.16,-6.247e-04,-0.36,-0.38,-0.01,-0.08,0.24,522.75,0.38,0.75,0.14,0.17,0.24,0.06,0.22,1.05e-03
23,10,0.74,0.90,1.37,-0.66,0.95,1.21,0.00,0.00,1.00,1.00,-2.11,-1.495e-03,0.12,0.34,2.9521e-03,-0.45,-0.85,1.37e-03,-0.43,15.40,326.57,0.59,0.67,0.10,0.10,0.22,0.18,0.07,0.03
23,12,0.61,0.96,1.07,-0.58,0.95,1.28,0.00,0.00,1.00,1.00,-1.05,-2.159e-04,-0.14,-1.24,-5.785e-04,-0.10,-2.45,-2.474e-03,-0.07,2.17,381.68,0.63,0.78,0.16,0.10,0.14,0.09,0.04,0.01
23,13,0.57,0.94,15.71,-1.56,0.99,2.04,0.00,0.00,1.00,1.00,-0.87,2.766e-04,-0.10,0.53,-7.332e-04,-0.43,-1.41,-0.01,0.29,0.24,522.75,0.38,0.75,0.13,0.18,0.32,0.05,0.15,1.0e-04
24,1,0.71,0.89,2.28,-1.13,0.99,2.16,0.00,0.00,1.00,1.00,-1.25,-9.75e-05,-0.11,0.12,-1.3997e-03,-0.22,1.01,-4.25e-04,-0.48,3.04,583.78,0.34,0.74,0.07,0.09,0.24,0.08,0.34,0.07
24,8,0.66,0.90,2.32,-1.16,0.99,2.16,0.00,0.00,1.00,1.00,-1.33,-1.316e-04,-0.10,0.41,-1.1519e-03,-0.29,1.18,-1.218e-03,-0.45,3.04,583.78,0.30,0.75,0.06,0.09,0.24,0.08,0.38,0.06
24,13,0.57,0.94,15.71,-1.56,0.99,2.04,0.00,0.00,1.00,1.00,-0.87,2.766e-04,-0.10,0.53,-7.332e-04,-0.43,-1.41,-0.01,0.29,0.24,522.75,0.38,0.75,0.13,0.18,0.32,0.05,0.15,1.0e-04
25,1,0.70,0.90,4.61,-1.01,0.98,1.80,0.00,0.00,1.00,1.00,-1.57,2.621e-04,-0.08,-0.83,4.997e-04,-0.23,-0.16,3.3e-05,-0.38,0.31,529.19,0.52,0.74,0.09,0.10,0.15,0.09,0.23,0.05
25,2,0.66,0.93,20.26,-1.57,1.00,2.32,0.00,0.00,1.00,1.00,-1.79,2.85e-04,-0.11,-1.28,-1.3455e-03,-0.11,-0.70,8.22e-04,-0.38,0.16,386.36,0.61,0.80,0.08,0.07,0.14,0.06,0.16,0.05
25,3,0.49,0.95,2.97,-0.95,0.98,1.67,0.00,0.00,1.00,1.00,-1.68,-1.204e-04,-6.0e-03,-0.94,7.694e-04,-0.20,-0.36,-1.0e-03,-0.31,1.51,329.11,0.54,0.71,0.10,0.12,0.14,0.10,0.20,0.05
25,6,0.53,0.92,0.55,-0.27,0.87,1.25,0.00,0.00,1.00,1.00,-1.97,-6.047e-04,-0.02,-1.42,-1.8351e-03,-0.01,-1.04,-1.387e-03,-0.20,2.87,450.40,0.62,0.80,0.08,0.07,0.14,0.07,0.14,0.04
25,7,0.67,0.84,1.26,-0.04,0.00,1.17,0.00,0.00,1.00,1.00,-1.91,-3.23e-04,0.01,-0.40,6.499e-04,-0.23,0.36,1.588e-03,-0.46,16.21,499.74,0.54,0.65,0.08,0.08,0.18,0.14,0.19,0.11
25,8,0.84,0.86,9.28,-1.29,0.99,2.02,0.00,0.00,1.00,1.00,-1.85,-4.392e-04,-0.04,-1.06,-1.517e-04,-0.17,-0.55,-6.2e-05,-0.33,0.16,499.74,0.57,0.78,0.08,0.07,0.14,0.08,0.19,0.05
25,9,0.55,0.95,18.72,-1.61,1.00,2.47,0.00,0.00,1.00,1.00,-1.23,3.359e-04,-0.08,-1.13,-1.39e-05,-0.12,-0.31,8.77e-04,-0.52,0.58,703.92,0.55,0.72,0.13,0.14,0.14,0.10,0.16,0.03
25,10,0.71,0.92,1.66,-0.85,0.98,1.38,0.00,0.00,1.00,1.00,-1.66,-6.34e-05,-0.02,-0.61,2.2315e-03,-0.27,-0.82,1.295e-03,-0.40,0.36,289.67,0.57,0.69,0.10,0.11,0.19,0.14,0.12,0.04
25,12,0.61,0.96,1.07,-0.58,0.95,1.28,0.00,0.00,1.00,1.00,-1.05,-2.159e-04,-0.14,-1.24,-5.785e-04,-0.10,-2.45,-2.474e-03,-0.07,2.17,381.68,0.63,0.78,0.16,0.10,0.14,0.09,0.04,0.01
25,13,0.59,0.94,11.79,-1.40,0.99,2.10,0.00,0.00,1.00,1.00,-1.23,2.12e-04,-0.09,-1.15,-9.56e-05,-0.12,-0.29,9.57e-04,-0.59,0.36,703.92,0.56,0.74,0.14,0.13,0.14,0.09,0.15,0.02
26,1,1.26,0.81,4.61,-1.01,0.98,1.80,0.00,0.00,1.00,1.00,-2.17,-8.013e-04,0.07,-0.55,-3.7e-04,-0.27,1.26,8.26e-04,-0.69,94.89,420.58,0.68,0.77,0.10,0.09,0.10,0.07,0.10,0.05
26,2,1.15,0.84,20.26,-1.57,1.00,2.32,0.00,0.00,1.00,1.00,-1.46,9.756e-04,-0.20,-1.97,-1.226e-04,-0.05,-0.62,7.1e-04,-0.40,11.73,479.00,0.70,0.79,0.09,0.08,0.08,0.07,0.12,0.04
26,3,0.50,0.94,2.97,-0.95,0.98,1.67,0.00,0.00,1.00,1.00,-1.70,-2.335e-04,1.74e-03,-1.71,-3.466e-04,0.02,-1.36,3.4e-05,-0.16,133.78,1100.21,0.67,0.72,0.11,0.10,0.12,0.10,0.07,0.06
26,6,0.53,0.92,0.55,-0.27,0.87,1.25,0.00,0.00,1.00,1.00,-1.97,-6.047e-04,-0.02,-1.42,-1.8351e-03,-0.01,-1.04,-1.387e-03,-0.20,2.87,450.40,0.62,0.80,0.08,0.07,0.14,0.07,0.14,0.04
26,8,1.31,0.81,9.28,-1.29,0.99,2.02,0.00,0.00,1.00,1.00,-2.30,-1.201e-04,0.02,-1.97,-4.089e-04,-0.03,-1.61,-9.21e-04,-0.11,11.73,479.00,0.72,0.79,0.07,0.08,0.09,0.07,0.10,0.04
26,9,0.80,0.88,18.72,-1.61,1.00,2.47,0.00,0.00,1.00,1.00,-1.40,-8.354e-04,-5.78e-03,-1.74,-1.1054e-03,0.03,-1.77,-8.56e-04,-0.13,33.08,393.20,0.65,0.73,0.15,0.12,0.12,0.10,0.06,0.04
26,10,2.37,0.67,1.66,-0.85,0.98,1.38,0.00,0.00,1.00,1.00,-1.42,6.32e-05,-0.04,-1.47,-2.509e-04,-7.43e-03,0.25,1.146e-03,-0.62,0.51,838.11,0.52,0.70,0.11,0.12,0.11,0.12,0.23,0.03
26,13,0.95,0.85,11.79,-1.40,0.99,2.10,0.00,0.00,1.00,1.00,-1.85,-5.552e-04,0.07,-2.06,-1.233e-03,0.09,-2.21,-1.741e-03,-0.01,33.08,393.20,0.67,0.71,0.13,0.14,0.11,0.10,0.06,0.03
27,1,1.26,0.81,4.61,-1.01,0.98,1.80,0.00,0.00,1.00,1.00,-2.17,-8.013e-04,0.07,-0.55,-3.7e-04,-0.27,1.26,8.26e-04,-0.69,94.89,420.58,0.68,0.77,0.10,0.09,0.10,0.07,0.10,0.05
